	C0 values	alpha	beta	cnn_aux rocauc	cnn_aux time	cnn_pure rocauc	cnn_pure time	logreg rocauc	logreg time	number of C0 in D0	number of C0 in D1	number of C1 in D0	number of C1 in D1
0	[0]	0.0009668063164679343	0.0009668063164679343	0.6360005121893962	81.38057947158813	0.4268778499427344	159.5456347465515	0.530300982407717	51.65473127365112	30	30	31000	31000
1	[0]	0.0009668063164679343	0.0009668063164679343	0.5847750547976336	84.08588790893555	0.45073344525001646	166.418062210083	0.5455553437772613	57.411428928375244	30	30	31000	31000
2	[0]	0.0009668063164679343	0.0009668063164679343	0.5023715415019763	80.09272003173828	0.5504181119087952	157.55598735809326	0.550120997015407	53.89409852027893	30	30	31000	31000
3	[0]	0.0009668063164679343	0.0009668063164679343	0.6987523000344547	79.52744746208191	0.6178185776806855	156.3343780040741	0.6404157289368159	51.42819404602051	30	30	31000	31000
4	[0]	0.0009668063164679343	0.0009668063164679343	0.6679775936515346	80.24265599250793	0.5600568645964841	162.35634684562683	0.43813110684390877	51.982317209243774	30	30	31000	31000
5	[0]	0.0009668063164679343	0.0009668063164679343	0.5	85.73559379577637	0.5858769627823583	170.02445888519287	0.5743623865448206	52.228572368621826	30	30	31000	31000
6	[0]	0.0009668063164679343	0.0009668063164679343	0.5	84.05908203125	0.5928225806451612	165.7409701347351	0.475739247311828	53.13877010345459	30	30	31000	31000
7	[0]	0.0009668063164679343	0.0009668063164679343	0.6305040322580645	84.0614378452301	0.6212163978494623	152.49915289878845	0.47910618279569894	53.71842885017395	30	30	31000	31000
8	[0]	0.0009668063164679343	0.0019317450096587251	0.5762187446529556	73.90485525131226	0.5282874309447962	141.70639419555664	0.6384591575728314	54.11626482009888	30	60	31000	31000
9	[0]	0.0009668063164679343	0.0019317450096587251	0.511533938172043	74.86281561851501	0.6841565860215054	144.2529375553131	0.6902548163082438	58.0438117980957	30	60	31000	31000
10	[0]	0.0009668063164679343	0.0019317450096587251	0.5830385949346668	74.69869065284729	0.44255877964187773	145.06257939338684	0.6277075939667689	58.37756586074829	30	60	31000	31000
11	[0]	0.0009668063164679343	0.0019317450096587251	0.5577382932188357	76.37213802337646	0.6233734982260926	145.09749555587769	0.6143439566198999	58.86166453361511	30	60	31000	31000
12	[0]	0.0009668063164679343	0.0019317450096587251	0.7304158351475568	76.86001420021057	0.5	146.60420489311218	0.6429192368166424	58.914374113082886	30	60	31000	31000
13	[0]	0.0009668063164679343	0.0019317450096587251	0.5498826783556007	77.31829380989075	0.5	147.733229637146	0.6276980436220728	59.893712520599365	30	60	31000	31000
14	[0]	0.0009668063164679343	0.0019317450096587251	0.612950491322875	77.4023003578186	0.5426369815207175	147.26638841629028	0.6310999159327586	58.47297930717468	30	60	31000	31000
15	[0]	0.0009668063164679343	0.0019317450096587251	0.7437090670307073	79.51563954353333	0.6527231044831142	150.7638020515442	0.5643349634519346	59.40697479248047	30	60	31000	31000
16	[0]	0.0009668063164679343	0.0038560411311053984	0.6370897408420458	79.65942645072937	0.5	151.1733272075653	0.6126328096983175	55.960976362228394	30	120	31000	31000
17	[0]	0.0009668063164679343	0.0038560411311053984	0.5	80.36489462852478	0.5	151.64637279510498	0.5847370209312616	60.4304416179657	30	120	31000	31000
18	[0]	0.0009668063164679343	0.0038560411311053984	0.5997071704751609	81.01421618461609	0.7168393469058657	153.47812819480896	0.6493434241630169	61.03094267845154	30	120	31000	31000
19	[0]	0.0009668063164679343	0.0038560411311053984	0.528754990578743	81.34512615203857	0.5104820816946916	152.69941020011902	0.653834869699983	61.11422610282898	30	120	31000	31000
20	[0]	0.0009668063164679343	0.0038560411311053984	0.5560797279526244	72.6444673538208	0.43094576926324046	133.73318767547607	0.5682149210775108	60.29909038543701	30	120	31000	31000
21	[0]	0.0009668063164679343	0.0038560411311053984	0.6768169592462046	72.62157154083252	0.6170915693321353	134.30724573135376	0.636447246411869	59.70567488670349	30	120	31000	31000
22	[0]	0.0009668063164679343	0.0038560411311053984	0.6501337495274844	74.54827880859375	0.5661476409199777	137.81908512115479	0.6070311864195361	62.46623396873474	30	120	31000	31000
23	[0]	0.0009668063164679343	0.0038560411311053984	0.714344797107032	76.13299012184143	0.5548922602357256	138.8013458251953	0.6941350061663696	62.251036643981934	30	120	31000	31000
24	[0]	0.0009668063164679343	0.0067286126241589235	0.6614255428762359	76.66189193725586	0.6993312084088414	139.7772741317749	0.664680413660746	65.28613424301147	30	210	31000	31000
25	[0]	0.0009668063164679343	0.0067286126241589235	0.7471776173216164	77.31291818618774	0.608751683119913	139.12016105651855	0.7050176200154396	64.11591625213623	30	210	31000	31000
26	[0]	0.0009668063164679343	0.0067286126241589235	0.6723985605061547	77.48241710662842	0.6149642661901418	142.2067847251892	0.6878885165833081	64.399329662323	30	210	31000	31000
27	[0]	0.0009668063164679343	0.0067286126241589235	0.8304145768979528	77.84154534339905	0.4921377641965877	141.14247155189514	0.7506393861892584	64.144047498703	30	210	31000	31000
28	[0]	0.0009668063164679343	0.0067286126241589235	0.7630281050609582	78.30151987075806	0.7300293094147493	143.47977757453918	0.7141342399277478	67.17468309402466	30	210	31000	31000
29	[0]	0.0009668063164679343	0.0067286126241589235	0.5962936827956989	80.19903874397278	0.6636443632392474	143.7438395023346	0.719330057123656	65.56606316566467	30	210	31000	31000
30	[0]	0.0009668063164679343	0.0067286126241589235	0.6767951108953122	80.71564197540283	0.5189638103996417	146.57479739189148	0.7393531235470029	67.53313279151917	30	210	31000	31000
31	[0]	0.0009668063164679343	0.0067286126241589235	0.6031498435046106	82.47830367088318	0.5368414290808969	148.92632055282593	0.6594312561053137	68.48535466194153	30	210	31000	31000
32	[0]	0.0009668063164679343	0.01053303542930099	0.7611026210710018	84.05742454528809	0.5976520263861753	147.76408576965332	0.793078638057932	63.890729904174805	30	330	31000	31000
33	[0]	0.0009668063164679343	0.01053303542930099	0.5	85.15415644645691	0.7028851646505376	148.2619903087616	0.6719574652777778	63.29777526855469	30	330	31000	31000
34	[0]	0.0009668063164679343	0.01053303542930099	0.819056899641577	86.56572604179382	0.5668870407706094	148.91093158721924	0.7539749943996417	63.52092623710632	30	330	31000	31000
35	[0]	0.0009668063164679343	0.01053303542930099	0.8491155541911891	86.52998542785645	0.6421701446393381	150.63879108428955	0.7910219303043793	67.98371982574463	30	330	31000	31000
36	[0]	0.0009668063164679343	0.01053303542930099	0.7292533394300349	86.90117883682251	0.5082682101443582	151.33682656288147	0.6668847002509004	70.72806072235107	30	330	31000	31000
37	[0]	0.0009668063164679343	0.01053303542930099	0.5	87.71800303459167	0.6588315879360656	151.4623363018036	0.7847212690496274	70.70715665817261	30	330	31000	31000
38	[0]	0.0009668063164679343	0.01053303542930099	0.5	87.89561486244202	0.7037801395252321	153.86472368240356	0.7558523415188335	69.24936032295227	30	330	31000	31000
39	[0]	0.0009668063164679343	0.01053303542930099	0.687571106176417	89.21783351898193	0.5210342185655428	153.253075838089	0.7477896077567087	68.71471500396729	30	330	31000	31000
40	[0]	0.0009668063164679343	0.015247776365946633	0.5	89.60922908782959	0.7985448902326558	150.34653568267822	0.8178804763751979	73.1444251537323	30	480	31000	31000
41	[0]	0.0009668063164679343	0.015247776365946633	0.8027824141267538	86.35051226615906	0.5645638808256732	148.728928565979	0.8299183599419448	69.0419487953186	30	480	31000	31000
42	[0]	0.0009668063164679343	0.015247776365946633	0.9261242644156847	87.56901836395264	0.9036695644125265	148.7462136745453	0.8176248454942723	72.39951634407043	30	480	31000	31000
43	[0]	0.0009668063164679343	0.015247776365946633	0.6942781080675923	88.42278242111206	0.6651828537559887	149.74249148368835	0.8073499809798126	74.72400069236755	30	480	31000	31000
44	[0]	0.0009668063164679343	0.015247776365946633	0.837157436177072	88.6995861530304	0.6006312845521762	150.18481421470642	0.8585971473448839	78.23233556747437	30	480	31000	31000
45	[0]	0.0009668063164679343	0.015247776365946633	0.6479765285616538	86.56915855407715	0.812923103454608	152.61188507080078	0.8790503959677476	75.76295018196106	30	480	31000	31000
46	[0]	0.0009668063164679343	0.015247776365946633	0.8361043570449072	89.81511092185974	0.5	152.32656860351562	0.8421815761877873	75.52760887145996	30	480	31000	31000
47	[0]	0.0009668063164679343	0.015247776365946633	0.7866210830007292	89.86332297325134	0.8913046400540505	153.7208514213562	0.8338928524741676	77.31488108634949	30	480	31000	31000
48	[0]	0.0009668063164679343	0.01991779955738223	0.8844805578297572	91.28279781341553	0.9027421625743597	155.08667707443237	0.819037630783829	76.17534875869751	30	630	31000	31000
49	[0]	0.0009668063164679343	0.01991779955738223	0.9356165715221281	91.05290222167969	0.9573111364856632	156.3769371509552	0.8713080829117841	74.59573936462402	30	630	31000	31000
50	[0]	0.0009668063164679343	0.01991779955738223	0.9193907100608536	93.05723905563354	0.9085649100753501	156.22447109222412	0.8915708412519128	74.08794403076172	30	630	31000	31000
51	[0]	0.0009668063164679343	0.01991779955738223	0.8828364864307319	103.33612608909607	0.6450498592452243	159.37694454193115	0.8632407874650494	78.3475193977356	30	630	31000	31000
52	[0]	0.0009668063164679343	0.01991779955738223	0.9124764184839063	94.87714195251465	0.6641658586340033	162.7003264427185	0.8591934105770112	77.56974458694458	30	630	31000	31000
53	[0]	0.0009668063164679343	0.01991779955738223	0.8598594623085695	96.37863731384277	0.8994409185328138	160.4106993675232	0.8415962928024949	77.53624749183655	30	630	31000	31000
54	[0]	0.0009668063164679343	0.01991779955738223	0.8698497443262085	96.36894369125366	0.8448334473149482	162.02398037910461	0.8414137680352053	79.80899548530579	30	630	31000	31000
55	[0]	0.0009668063164679343	0.01991779955738223	0.8400262707722386	96.16002774238586	0.9322909029814272	163.27426481246948	0.8577483504398826	84.58432841300964	30	630	31000	31000
56	[0]	0.0009668063164679343	0.025157232704402517	0.8972608058245749	99.95002937316895	0.90255262860206	165.01612663269043	0.8729028568635042	75.18443655967712	30	800	31000	31000
57	[0]	0.0009668063164679343	0.025157232704402517	0.8491556218324696	98.05163478851318	0.9414784536757588	167.87481045722961	0.8762995771880873	77.74890613555908	30	800	31000	31000
58	[0]	0.0009668063164679343	0.025157232704402517	0.9611853597426487	96.20208406448364	0.8885466425001437	168.00135612487793	0.8691660955852631	79.9269049167633	30	800	31000	31000
59	[0]	0.0009668063164679343	0.025157232704402517	0.8737835818919685	99.18770480155945	0.9032424944217816	167.54315900802612	0.8498598782995137	79.76293468475342	30	800	31000	31000
60	[0]	0.0009668063164679343	0.025157232704402517	0.946915455342922	98.03742718696594	0.5895413514846682	160.8768446445465	0.8551604726998536	78.71229100227356	30	800	31000	31000
61	[0]	0.0009668063164679343	0.025157232704402517	0.9309352509062269	121.79012703895569	0.9029594624346107	162.70317125320435	0.9046907975726454	91.54751539230347	30	800	31000	31000
62	[0]	0.0009668063164679343	0.025157232704402517	0.8966013860074822	99.27675771713257	0.917611727304494	333.9042184352875	0.914781188222846	80.35478162765503	30	800	31000	31000
63	[0]	0.0009668063164679343	0.025157232704402517	0.9262709303151814	118.42388343811035	0.9586277596616966	999.4145030975342	0.8854656977123807	163.40308380126953	30	800	31000	31000
64	[0]	0.0009668063164679343	0.037267080745341616	0.9595501810091979	104.22519111633301	0.8081749564708403	166.2625024318695	0.9281385637604105	92.51870822906494	30	1200	31000	31000
65	[0]	0.0009668063164679343	0.037267080745341616	0.9343489996539002	102.52028918266296	0.5	167.8726303577423	0.9248598329708357	87.07190752029419	30	1200	31000	31000
66	[0]	0.0009668063164679343	0.037267080745341616	0.9200039928869956	102.84012007713318	0.9881471284431486	165.4245002269745	0.9009715125723667	85.03302264213562	30	1200	31000	31000
67	[0]	0.0009668063164679343	0.037267080745341616	0.9621485774880563	105.48710513114929	0.9203788891510052	166.17231130599976	0.9070837849863086	91.78819489479065	30	1200	31000	31000
68	[0]	0.0009668063164679343	0.037267080745341616	0.969194334104593	104.28091716766357	0.9132354095134276	169.89105820655823	0.9095449002487683	87.19976830482483	30	1200	31000	31000
69	[0]	0.0009668063164679343	0.037267080745341616	0.9501669590267796	105.88794159889221	0.9020356326095187	169.45283603668213	0.9092160967202889	88.93545317649841	30	1200	31000	31000
70	[0]	0.0009668063164679343	0.037267080745341616	0.7370872122975092	105.06681108474731	0.9338109457040418	173.20585775375366	0.892315081386696	84.90738916397095	30	1200	31000	31000
71	[0]	0.0009668063164679343	0.037267080745341616	0.9617196803749103	106.90813112258911	0.8991476208919866	182.93934655189514	0.9279159682367746	87.95153713226318	30	1200	31000	31000
